Tag,TextLength,Punctuation,NegativeKeywordRatio,PositiveClassCount,RelativeTagDepth,SimilarAncestorRatio,TextToTagRatio,PreviousClassification,Position,AncestorTags,Output
title,53,1,0,0,4,0,13.25,False,4.665527E-05,1077936128,False
a,20,0,0,0,0,0.3333333,5,False,0.03574939,0,False
title,5,0,0,0,2,0.4285714,0.8333333,False,0.0361079,88080384,False
title,4,0,0,0,0,1,0.6666667,False,0.045326,88080384,False
title,10,1,0,0,0,1,1.666667,False,0.04553309,88080384,False
title,2,0,0,0,0,1,0.3333333,False,0.05209183,88080384,False
title,3,0,0,0,0,1,0.5,False,0.05251664,88080384,False
p,12,0,0,0,2,0.375,1.5,False,0.06546307,65544,False
span,11,0,0,0,3,0.4444444,1,False,0.06563987,65536,False
h1,41,0,0,0,-4,0.4444444,5.857143,False,0.06572991,65536,False
p,91,1,0,0,0,0.6666667,13,False,0.06579948,65544,True
span,28,0,0,0,1,0.6666667,3.5,True,0.06592798,65536,False
span,14,0,0,0,3,0.8333333,1.272727,False,0.06611297,65536,False
time,43,2,0,0,-1,0.7142857,4.3,False,0.06628159,65536,False
h2,16,0,0,0,-2,0.5,2,False,0.0669364,65664,False
span,22,0,0,0,3,0.5,2,False,0.06737348,65664,False
span,21,0,0,0,0,1,1.909091,False,0.06789651,65664,False
span,5,0,1,0,0,1,0.4545455,False,0.06891392,65664,False
span,19,0,1,0,0,1,1.727273,False,0.06894912,65664,False
strong,5,0,1,0,0,0.4545455,0.4545455,False,0.06914638,66176,False
span,24,0,0,0,0,0.75,2.181818,False,0.06918485,65664,False
span,41,0,0,0,0,1,3.727273,False,0.06922414,65664,False
span,8,0,0,0,2,0.6,0.6153846,False,0.07034223,65664,False
span,6,0,1,0,0,1,0.4615385,False,0.07155117,65664,False
span,6,0,0,0,0,1,0.4615385,False,0.0722068,65664,False
span,9,0,0,0,0,1,0.6923077,False,0.07289354,65664,False
span,5,0,0,0,0,1,0.3846154,False,0.07344767,65664,False
p,449,14,0,0,-5,0.5,56.125,False,0.07365066,65672,True
p,33,0,0,0,0,1,4.125,True,0.07402472,65672,True
a,32,0,0,0,1,0.8571429,3.555556,True,0.07412294,65672,True
